t1548793843.8 U0.0 I0.0 T-103 T_a-103.0, Charging started: BT-B-1_1
t1548793843.86 U24.8332 I-0.1654 T16.187 T_a20.243866555, 16.187
t1548793853.88 U25.188 I5.7532 T16.187 T_a20.267280473, 16.187
t1548793863.9 U25.1891 I5.4647 T16.187 T_a20.3082629359, 16.187
t1548793873.92 U25.1975 I5.2747 T16.187 T_a20.343400133, 16.187
t1548793883.94 U25.1944 I5.1621 T16.187 T_a20.396113828, 16.187
t1548793893.95 U25.1944 I5.0565 T16.187 T_a20.4371214792, 16.187
t1548793903.97 U25.1986 I4.972 T16.187 T_a20.466418365, 16.187
t1548793913.99 U25.1944 I4.9122 T16.187 T_a20.489859105, 16.187
t1548793924.02 U25.1954 I4.8665 T16.187 T_a20.5367470658, 16.187
t1548793934.03 U25.1859 I4.7855 T16.187 T_a20.5601943044, 16.187
t1548793944.05 U25.1996 I4.7152 T16.187 T_a20.6129612458, 16.187
t1548793954.07 U25.1901 I4.6976 T16.187 T_a20.6364183578, 16.187
t1548793964.09 U25.1954 I4.6378 T16.187 T_a20.6657414174, 16.187
t1548793974.11 U25.187 I4.6096 T16.187 T_a20.730270215, 16.187
t1548793984.13 U25.1901 I4.5603 T16.187 T_a20.7654760248, 16.187
t1548793994.15 U25.1922 I4.5181 T16.187 T_a20.7948210213, 16.187
t1548794004.17 U25.1912 I4.4864 T16.187 T_a20.8359064219, 16.187
t1548794014.19 U25.1975 I4.4407 T16.187 T_a20.8593889535, 16.187
t1548794024.21 U25.1838 I4.3985 T16.187 T_a20.8946170775, 16.187
t1548794034.23 U25.1922 I4.3598 T16.187 T_a20.9357267314, 16.187
t1548794044.25 U25.1922 I4.3211 T16.187 T_a20.9592179519, 16.187
t1548794054.27 U25.188 I4.3 T16.187 T_a21.0003399034, 16.187
t1548794064.29 U25.1975 I4.2542 T16.187 T_a21.029718058, 16.187
t1548794074.31 U25.1933 I4.2225 T16.187 T_a21.0649779046, 16.187
t1548794084.33 U25.1912 I4.1944 T16.187 T_a21.0943650001, 16.187
t1548794094.35 U25.1944 I4.1662 T16.187 T_a21.1178793626, 16.187
t1548794104.37 U25.1965 I4.1346 T16.187 T_a21.1413937251, 16.187
t1548794114.39 U25.1933 I4.0923 T16.187 T_a21.1884333305, 16.187
t1548794124.41 U25.188 I4.0712 T16.187 T_a21.1884333305, 16.187
t1548794134.43 U25.2017 I4.0431 T16.187 T_a21.2531366331, 16.187
t1548794144.44 U25.187 I4.0114 T16.187 T_a21.2766693103, 16.187
t1548794154.47 U25.1912 I3.9833 T16.187 T_a21.3237439663, 16.187
t1548794164.49 U25.1996 I3.9446 T16.187 T_a21.3355149648, 16.187
t1548794174.51 U25.1996 I3.9059 T16.187 T_a21.3826046158, 16.187
t1548794184.53 U25.2017 I3.8953 T16.187 T_a21.3943793856, 16.187
t1548794194.56 U25.1933 I3.8671 T16.187 T_a21.4414841762, 16.187
t1548794204.58 U25.1922 I3.8284 T16.187 T_a21.4532627536, 16.187
t1548794214.6 U25.1954 I3.8003 T16.187 T_a21.4768199083, 16.187
t1548794224.62 U25.1965 I3.7616 T16.187 T_a21.5003828286, 16.187
t1548794234.64 U25.1838 I3.7545 T16.187 T_a21.5416213025, 16.187
t1548794244.66 U25.1849 I3.7123 T16.187 T_a21.5534076035, 16.187
