t1549213347.76 U0.0 I0.0 T_a-103 T_p-103.0 R0, Charging started: manual charge
t1549213347.82 U20.788 I8.4134 T_a18.812 T_p64.9606476764 R18.812, 
t1549213357.84 U20.8735 I8.4134 T_a18.812 T_p64.9479277665 R18.812, 
t1549213367.86 U20.9622 I8.4099 T_a18.812 T_p64.7322601097 R18.812, 
t1549213377.88 U20.9844 I8.4134 T_a18.812 T_p64.6943195185 R18.812, 
t1549213387.9 U21.0129 I8.4134 T_a18.812 T_p64.4675433909 R18.812, 
t1549213397.92 U21.0541 I8.4064 T_a18.812 T_p64.3296650536 R18.812, 
t1549213407.94 U21.0594 I8.4169 T_a18.812 T_p64.2421415018 R18.812, 
t1549213417.96 U21.09 I8.4134 T_a18.812 T_p64.0430175225 R18.812, 
t1549213427.98 U21.0826 I8.4099 T_a18.812 T_p63.9934250884 R18.812, 
t1549213438.0 U21.1069 I8.4064 T_a18.812 T_p64.0927354581 R18.812, 
t1549213448.02 U21.1069 I8.4205 T_a18.812 T_p63.8695691967 R18.812, 
t1549213458.04 U21.1122 I8.4064 T_a18.812 T_p63.9810061144 R18.812, 
t1549213468.06 U21.1301 I8.4099 T_a18.812 T_p63.7832184774 R18.812, 
t1549213478.08 U21.1428 I8.4099 T_a18.812 T_p63.72162164 R18.812, 
t1549213488.1 U21.1385 I8.4064 T_a18.812 T_p63.6110510516 R18.812, 
t1549213498.12 U21.1554 I8.4064 T_a18.812 T_p63.7093269468 R18.812, 
t1549213508.14 U21.1607 I8.4169 T_a18.812 T_p63.5865024903 R18.812, 
t1549213518.16 U21.1702 I8.4099 T_a18.812 T_p63.5497408857 R18.812, 
t1549213528.18 U21.1808 I8.4029 T_a18.812 T_p63.4152320394 R18.812, 
t1549213538.2 U21.204 I8.4169 T_a18.812 T_p63.2690740429 R18.812, 
t1549213548.22 U21.2093 I8.4064 T_a18.812 T_p63.3542458165 R18.812, 
t1549213558.24 U21.2283 I8.4134 T_a18.812 T_p63.2447278372 R18.812, 
t1549213568.26 U21.2262 I8.4205 T_a18.812 T_p63.1840620549 R18.812, 
t1549213578.28 U21.2336 I8.4134 T_a18.812 T_p62.966377972 R18.812, 
t1549213588.3 U21.242 I8.4064 T_a18.812 T_p63.0025797123 R18.812, 
t1549213598.32 U21.261 I8.4134 T_a18.812 T_p62.9784320936 R18.812, 
t1549213608.34 U21.2684 I8.4134 T_a18.812 T_p62.8820382146 R18.812, 
t1549213618.36 U21.2642 I8.4099 T_a18.812 T_p62.9302547012 R18.812, 
t1549213628.38 U21.2895 I8.4099 T_a18.812 T_p62.858047254 R18.812, 
t1549213638.4 U21.2779 I8.4099 T_a18.812 T_p62.761965572 R18.812, 
t1549213648.42 U21.3117 I8.4029 T_a18.812 T_p62.5467400779 R18.812, 
t1549213658.44 U21.317 I8.4134 T_a18.812 T_p62.47526712 R18.812, 
t1549213668.46 U21.3191 I8.4064 T_a18.812 T_p62.3683244749 R18.812, 
t1549213678.48 U21.3191 I8.4099 T_a18.812 T_p62.4039466917 R18.812, 
t1549213688.5 U21.354 I8.4099 T_a18.812 T_p62.3802238787 R18.812, 
t1549213698.52 U21.3561 I8.3993 T_a18.812 T_p62.2972314959 R18.812, 
t1549213708.54 U21.355 I8.4134 T_a18.812 T_p62.1199882131 R18.812, 
t1549213718.56 U21.3687 I8.4134 T_a18.812 T_p62.0728433673 R18.812, 
t1549213728.58 U21.3751 I8.4064 T_a18.812 T_p61.9201429402 R18.812, 
t1549213738.6 U21.3761 I8.4169 T_a18.812 T_p61.8967188098 R18.812, 
t1549213748.62 U21.4131 I8.4064 T_a18.812 T_p61.7563941447 R18.812, 
t1549213758.64 U21.3941 I8.4134 T_a18.812 T_p61.8030956606 R18.812, 
t1549213768.66 U21.4226 I8.4169 T_a18.812 T_p61.6631368397 R18.812, 
t1549213778.68 U25.1922 I0.0035 T_a18.812 T_p61.6282199978 R18.812, 
t1549213788.74 U0.0 I0.0 T_a-104 T_p-104.0 R0, Charging completed/interrupted: manual charge
t1550657647.99 U0.0 I0.0 T_a-103 T_p-103.0 R0, Charging started: manual charge
t1550657648.05 U21.317 I8.3606 T_a13.5 T_p12.2855300852 R13.5, 
t1550657655.14 U0.0 I0.0 T_a-104 T_p-104.0 R0, Charging completed/interrupted: manual charge
t1550657668.87 U0.0 I0.0 T_a-103 T_p-103.0 R0, Charging started: manual charge
t1550657668.93 U21.3677 I-0.0915 T_a13.5 T_p12.3392410245 R13.5, 
t1550657678.95 U21.9769 I8.3993 T_a13.562 T_p12.4412485285 R13.562, 
t1550657688.96 U22.0783 I8.3993 T_a13.562 T_p12.2909044896 R13.562, 
t1550657698.98 U22.1089 I8.3888 T_a13.562 T_p12.4841935916 R13.562, 
t1550657709.0 U22.167 I8.3923 T_a13.562 T_p12.3070241015 R13.562, 
t1550657719.02 U22.1871 I8.3993 T_a13.562 T_p12.5110244803 R13.562, 
t1550657729.04 U22.2124 I8.4029 T_a13.562 T_p12.3553544843 R13.562, 
t1550657739.06 U22.2716 I8.3958 T_a13.562 T_p12.4841924285 R13.562, 
t1550657749.08 U22.3064 I8.3958 T_a13.562 T_p12.559305453 R13.562, 
t1550657759.1 U22.3275 I8.4029 T_a13.562 T_p12.7202128362 R13.562, 
t1550657769.12 U22.318 I8.4029 T_a13.562 T_p12.7309271 R13.562, 
t1550657779.14 U22.3539 I8.3923 T_a13.562 T_p12.7309347778 R13.562, 
t1550657789.16 U22.3592 I8.3993 T_a13.562 T_p12.6505026905 R13.562, 
t1550657799.18 U22.3867 I8.3993 T_a13.562 T_p12.59685138 R13.562, 
t1550657809.2 U22.4289 I8.4029 T_a13.562 T_p12.7416587868 R13.562, 
t1550657819.22 U22.4247 I8.3958 T_a13.625 T_p12.7255764925 R13.625, 
t1550657829.24 U22.4585 I8.3958 T_a13.562 T_p12.6665893221 R13.562, 
t1550657839.26 U22.4764 I8.3923 T_a13.625 T_p12.9185252061 R13.625, 
t1550657849.28 U22.4838 I8.3923 T_a13.625 T_p12.9399434272 R13.625, 
t1550657859.3 U22.4912 I8.3958 T_a13.562 T_p12.7899025134 R13.562, 
t1550657869.32 U22.506 I8.3958 T_a13.562 T_p12.881014884 R13.562, 
t1550657879.34 U22.5102 I8.3923 T_a13.625 T_p12.8702961724 R13.625, 
t1550657889.36 U22.5123 I8.3993 T_a13.625 T_p12.9560143317 R13.625, 
t1550657899.38 U22.5123 I8.3958 T_a13.625 T_p13.1488196681 R13.625, 
t1550657909.39 U22.5376 I8.3923 T_a13.625 T_p13.1327518638 R13.625, 
t1550657919.41 U22.5398 I8.3993 T_a13.625 T_p13.0203001632 R13.625, 
t1550657929.43 U22.5376 I8.3993 T_a13.625 T_p13.1006264786 R13.625, 
t1550657939.45 U22.5873 I8.3923 T_a13.625 T_p13.3093858868 R13.625, 
t1550657949.47 U22.5619 I8.4064 T_a13.625 T_p13.229113681 R13.625, 
t1550657959.49 U22.5915 I8.3958 T_a13.625 T_p13.2023456384 R13.625, 
t1550657969.51 U22.6094 I8.3958 T_a13.625 T_p13.4966135398 R13.625, 
t1550657979.53 U22.6253 I8.4029 T_a13.625 T_p13.2398159856 R13.625, 
t1550657989.55 U22.6454 I8.4064 T_a13.625 T_p13.5928561753 R13.625, 
t1550657999.57 U22.6411 I8.3923 T_a13.625 T_p13.6570123717 R13.625, 
t1550658009.59 U22.6538 I8.4029 T_a13.625 T_p13.4912670217 R13.625, 
t1550658019.61 U22.6443 I8.4029 T_a13.625 T_p13.5340481478 R13.625, 
t1550658029.62 U22.6633 I8.3993 T_a13.625 T_p13.5607720964 R13.625, 
t1550658039.64 U22.6549 I8.3958 T_a13.625 T_p13.8066583685 R13.625, 
t1550658049.66 U22.6802 I8.3923 T_a13.625 T_p13.7692551508 R13.625, 
t1550658059.68 U22.6549 I8.3958 T_a13.625 T_p13.8814599769 R13.625, 
t1550658069.7 U22.6686 I8.3923 T_a13.625 T_p13.9615891516 R13.625, 
t1550658079.72 U22.6665 I8.3923 T_a13.625 T_p13.8494058685 R13.625, 
t1550658089.74 U22.6865 I8.3958 T_a13.625 T_p13.8066562215 R13.625, 
